"Appa","male","37","person","NL"
"Apulanta","mixed","29","group","FI"
"Ara Johari","mixed","0","group",""
"ARAM Mafia","male","49","person","BE"
"Arash","male","43","person","SE"
"Arash Buana","male","43","person","SE"
"ARASHI","mixed","22","group","US"
"Arbaaz Khan","male","0","person","DE"
"Arbise González","male","0","person",""
"Arcade Fire","mixed","19","group","CA"
"Arcangel","male","34","person","PR"
"Arce","male","0","person","CL"
"Archie Cruz","","0","",""
"Architrackz","","0","",""
"Arctic Monkeys","mixed","18","group","GB"
"Ardhito Pramono","male","25","person",""
"Ardian Bujupi","","29","","DE"
"Arem Ozguc","","0","",""
"Ares","mixed","17","group","JP"
"Aretha Franklin","female","76","person","US"
"Aretuza Lovi","female","30","person","BR"
"Arevi","male","66","person","RU"
"Ari Koivunen","male","36","person","FI"
"Ari Lasso","male","47","person","ID"
"Ari Lennox","female","29","person","US"
"Ariana Grande","female","27","person","US"
"AriBeatz","male","25","person","DE"
"Ariel Camacho y Los Plebes Del Rancho","mixed","0","group","MX"
"Arif","","0","","NO"
"Ariff Bahran","","0","",""
"Arijit Singh","male","33","person","IN"
"Arisa","female","37","person","IT"
"Arizona Zervas","male","25","person","US"
"Arjun","male","29","person","GB"
"Arjun Kanungo","male","0","person","IN"
"Arjun Kapoor","male","35","person","IN"
"Arkano","male","0","person","ES"
"Arko","","0","","ES"
"Arlissa","female","27","person","GB"
"Armaan Malik","male","0","person",""
"Armada","mixed","0","group","ID"
"Arman Aydin","male","28","person",""
"Arman Cekin","","0","","NL"
"Armi Millare","female","0","person","FI"
"Armin","male","57","person","EE"
"Armin van Buuren","male","43","person","NL"
"Armoo","","0","",""
"Arnau Griso","mixed","0","group",""
"Aron Can","male","21","person","IS"
"AronChupa","male","29","person","SE"
"Arrhult","mixed","0","group","SE"
"Arrow Benjamin","male","0","person",""
"Arse","mixed","0","group",""
"Arsy Widianto","male","0","person",""
"Art Garfunkel","male","78","person","US"
"Artem x Yonas","male","32","person","US"
"Arthur Hanlon","male","0","person","US"
"Arthur Nery","","0","",""
"Artigeardit","","0","","DK"
"Artists for Grenfell","mixed","3","group",""
"Arttu Lindeman","male","0","person",""
"Arttu Wiskari","male","35","person","FI"
"Artur Rojek","male","48","person","PL"
"Arvey","","0","",""
"Arvingarna","mixed","31","group","SE"
"Asaf Avidan & the Mojos","mixed","14","group","IL"
"Asan","","0","",""
"Asap Vergi","mixed","0","group",""
"Asche","male","0","person","DE"
"ASCO","mixed","0","group","MX"
"Asees Kaur","female","0","person","IN"
"Ásgeir","male","28","person",""
"Ash King","male","36","person","IN"
"Ashafar","","0","",""
"Ashanti","female","39","person","US"
"Ashe","female","26","person","US"
"Ashin Chen","male","44","person","TW"
"Ashley Gosiengfiao","female","30","person","PH"
"Ashley Monroe","female","33","person","US"
"Ashley O","female","0","person","US"
"Ashnikko","female","0","person",""
"Ashok Mastie","","0","",""
"Ashutosh Rana","","0","",""
"Asil Gök","","0","",""
"Ask Embla","mixed","0","group",""
"Aska Yang","male","42","person","TW"
"Aslak Hartberg","male","45","person","NO"
"Aslı Demirer","female","0","person","TR"
"Asme","mixed","0","group","SE"
"Aspova","male","0","person","TR"
"Aste","male","35","person","FI"
"Astol","male","0","person","US"
"Aston Merrygold","male","32","person","GB"
"Astra","male","75","person","IT"
"AstralKid22","","0","","CZ"
"Astrid S","female","23","person","NO"
"Atc Nico","mixed","21","group","DE"
"Ateyaba","male","30","person","FR"
"Athena","mixed","33","group","TR"
"Ati242","","0","",""
"Atif Aslam","male","37","person","PK"
"Atitude 67","mixed","0","group","BR"
"ATkel","mixed","6","group",""
"Atlas","female","56","person","GB"
"Atmosfera","mixed","19","group",""
"ÁTOA","mixed","6","group","PT"
"Atom Chanakan","male","51","person","DE"
"Atomic Otro Way","","0","",""
"ATR Son Son","","0","",""
"Attan","mixed","0","group",""
"ATYPISK","","0","",""
"Au/Ra","female","18","person","AG"
"Audien","male","28","person","US"
"Audioslave","mixed","19","group","US"
"Audra Mae","female","36","person","US"
"Audrey Mika","female","0","person",""
"Auður","male","0","person",""
"Audy","female","37","person","ID"
"AUGUST 08","male","0","person","US"
"August Alsina","male","27","person","US"
"Auli'i Cravalho","female","19","person","US"
"Aura Dione","female","35","person","DK"
"AURORA","mixed","21","group","GB"
"Auryn","mixed","11","group","ES"
"Austin Mahone","male","24","person","US"
"Austyn Johnson","male","0","person",""
"AUTTA","mixed","0","group",""
"AVA","mixed","0","group","US"
"Ava Max","female","26","person","US"
"Avelino","male","0","person",""
"Aventura","mixed","26","group","US"
"Avian Grays","","0","",""
"Avicii","male","28","person","SE"
"Avine Vinny","male","31","person","BR"
"Aviões do Forró","mixed","18","group","BR"
"Aviv Alush","mixed","15","group",""
"AVIWKILA","","0","",""
"Avneet Kaur","female","0","person",""
"Avril Lavigne","female","35","person","CA"
"Awa Imani","female","0","person","FR"
"AWADA","","0","",""
"Awed","","0","",""
"AWOLNATION","mixed","11","group","US"
"AX 13","","0","","JP"
"Axel","male","43","person","AR"
"Axel Caram","female","61","person","BR"
"Axel Ehnström","male","29","person","FI"
"Axel Fiks","male","22","person","AR"
"Axel Schylström","male","27","person","SE"
"Axel Wikner","","0","",""
"Axos","male","0","person","IT"
"Axwell","male","42","person","SE"
"Axwell / Ingrosso","mixed","6","group","SE"
"Ay Em","","0","",""
"Aya Nakamura","female","25","person","FR"
